,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
1,1.0048,0.99224
2,1.0103,0.9896
3,1.0047,0.99201
4,1.0163,0.98856
5,1.0163,0.98854
6,1.01,0.98999
7,1.0221,0.98594
8,1.0216,0.98243
9,1.0185,0.98683
10,1.0243,0.98595
11,1.0245,0.98593
12,1.0218,0.98234
13,1.0252,0.98499
14,1.0214,0.98533
15,1.0251,0.98499
16,1.024,0.98089
17,1.0241,0.9808
18,1.0293,0.97577
19,1.0287,0.9781
20,1.0306,0.9837
21,1.0287,0.98356
22,1.0305,0.98379
23,1.0261,0.97884
24,1.0289,0.97703
25,1.0383,0.97933
26,1.0278,0.97964
27,1.0326,0.97397
28,1.0335,0.97425
29,1.0382,0.97784
30,1.0378,0.97927
31,1.0386,0.97756
32,1.0305,0.97644
33,1.0283,0.97724
34,1.0368,0.98008
35,1.0323,0.97264
36,1.0337,0.97529
37,1.0337,0.97529
38,1.0282,0.97901
39,1.0328,0.97651
40,1.0298,0.9782
41,1.0348,0.97449
42,1.0332,0.97651
43,1.0299,0.97638
44,1.0275,0.97857
45,1.0344,0.97497
46,1.0382,0.9799
47,1.0298,0.97638
48,1.0376,0.9795
49,1.0376,0.97967
50,1.0336,0.97249
51,1.0427,0.98028
52,1.0512,0.97775
53,1.0342,0.97296
54,1.0426,0.98023
55,1.0521,0.97737
